date	New York	San Francisco	Austin
20120602	6803	5400	8101
20120603	6707	5203	8202
20120604	6109	5503	8102
20120605	5803	5305	8300
20120606	6107	5401	8302
20120607	6607	5309	8201
20120608	6807	5404	7705
20120609	7202	5500	7709
20120610	7206	6000	8209
20120611	6902	5702	8608
20120612	6609	5501	8503
20120613	6607	5303	7609
20120614	6707	5304	8405
20120615	6805	5406	8404
20120616	6705	5700	8308
20120617	6402	5506	8205
20120618	6107	5205	8209
20120619	6604	5309	8205
20120620	7709	5503	8103
20120621	8803	5303	8008
20120622	8202	5401	8107
20120623	7700	5502	8309
20120624	7504	5508	8505
20120625	7009	5608	8702
20120626	6509	5705	8800
20120627	7305	5707	8906
20120628	7704	5606	8607
20120629	7906	5604	8503
20120630	8402	5804	8107
20120701	8108	5808	7805
20120702	8205	5604	8301
20120703	8002	5605	8301
20120704	7708	5508	8405
20120705	8601	5408	8406
20120706	7909	5409	8402
20120707	8305	5407	8607
20120708	8105	5208	8403
20120709	7708	5307	8307
20120710	7601	5301	7701
20120711	7603	5207	7704
20120712	7508	5200	8006
20120713	7702	5304	8104
20120714	7903	5400	8002
20120715	7809	5400	8108
20120716	7906	5405	7703
20120717	8303	5607	8008
20120718	8403	5705	8106
20120719	7501	5701	8009
20120720	6804	5801	8309
20120721	6804	5706	8506
20120722	7202	5600	8306
20120723	7506	5606	8400
20120724	8206	5708	8300
20120725	7804	5705	8408
20120726	7700	5604	8404
20120727	7904	5503	8403
20120728	7704	5500	8309
20120729	7205	5506	8500
20120730	7209	5506	8409
20120731	7306	5509	8603
20120801	7500	5504	8605
20120802	7707	5404	8508
20120803	7907	5307	8503
20120804	7906	5401	8600
20120805	8105	5708	8402
20120806	8000	5802	8109
20120807	7507	5800	8605
20120808	7708	5700	8601
20120809	7806	5500	8608
20120810	7708	5408	8800
20120811	7805	5300	8501
20120812	7808	5205	8704
20120813	7806	5303	8800
20120814	7608	5309	8800
20120815	7607	5602	8702
20120816	7509	5701	8601
20120817	7706	5503	8608
20120818	7206	5602	8409
20120819	7004	5403	7608
20120820	7108	5301	8006
20120821	7306	5304	8000
20120822	7407	5405	7802
20120823	7406	5507	7901
20120824	7600	5408	8109
20120825	7602	5308	8407
20120826	7304	5605	8305
20120827	7406	5803	8201
20120828	7904	5807	8400
20120829	7407	5705	8507
20120830	7305	5509	8702
20120831	7709	5504	8209
20120901	8007	5507	8408
20120902	7501	5301	8309
20120903	7305	5305	8505
20120904	7305	5205	8604
20120905	7707	5405	8508
20120906	7402	5603	8504
20120907	7600	5604	8503
20120908	7701	5605	8109
20120909	6907	5604	7408
20120910	6708	5504	7106
20120911	6400	5602	7509
20120912	6801	5507	8201
20120913	6903	5403	8005
20120914	7000	5502	7000
20120915	6903	5403	7102
20120916	6603	5209	7003
20120917	6700	5408	7201
20120918	7208	5408	7307
20120919	6702	5608	7207
20120920	6201	5504	7107
20120921	6400	5508	7209
20120922	6505	5509	7301
20120923	6507	5208	7506
20120924	6004	5405	7803
20120925	6302	5303	7803
20120926	6805	5306	7906
20120927	6902	5201	7604
20120928	6807	5206	7702
20120929	6205	5309	7502
20120930	6203	5501	7109
